title,family_id,season,color,adventurous,print,style,weather,level
Arel Bag gold brown 7,Bag,7,brown,4,smooth,classic,warm_season,3
Belvoir Bag closet blue dark 9,Bag,9,blue dark,2,ethnic,boho,warm_season,3
Best Bag whiskybrown 8,Bag,8,brown,2,smooth,boho,cold_season,3
Bocabril Bag cow black 8,Bag,8,black,2,smooth,boho,cold,3
Bocamber Bag cow black 8,Bag,8,black,3,smooth,boho,cold_season,3
Bocamber Bag cow brown 8,Bag,8,brown,3,smooth,boho,cold_season,3
Bocamber Bag cow red 8,Bag,8,red,3,smooth,boho,cold_season,3
Bocameba Bag buff brown 8,Bag,8,brown,2,smooth,casual,cold_season,3
Bocanna Bag cow black 8,Bag,8,black,2,smooth,minimal,cold_season,3
Bocanna Bag cow brown 8,Bag,8,brown,2,smooth,minimal,cold_season,3
Bocapple Bag suede brown 8,Bag,8,brown,4,smooth,classic,cold_season,3
Bocaraton Bag cow brown 8,Bag,8,brown,2,smooth,street,cold_season,3
Bocaraton Bag cow orange 8,Bag,8,orange,2,smooth,street,cold_season,3
Bocarm Bag suede red 8,Bag,8,red,3,smooth,boho,cold_season,3
Bocarthur Bag cow black 8,Bag,8,black,2,smooth,boho,warm_season,3
Bocarthur Bag cow orange 8,Bag,8,orange,2,smooth,boho,warm_season,3
Bocarthur Bag cow brown 9,Bag,9,brown,2,smooth,boho,warm_season,3
Bristol Bag crochet black 9,Bag,9,black,2,smooth,boho,warm,3
Bristol Bag crochet brown 9,Bag,9,brown,2,smooth,boho,warm,3
Bristol Bag crochet orange 9,Bag,9,orange,2,smooth,boho,warm,3
Bristol Bag crochet red 9,Bag,9,red,2,smooth,boho,warm,3
Callie Bag closet blue dark 9,Bag,9,blue dark,3,smooth,boho,cold,3
Callie Bag closet red 9,Bag,9,red,3,smooth,boho,cold,3
Candice Bag closet blue dark 9,Bag,9,blue dark,2,smooth,boho,cold,3
Candice Bag closet red 9,Bag,9,red,2,smooth,boho,cold,3
Candy Bag closet blue dark 9,Bag,9,blue dark,2,smooth,casual,cold,3
Candy Bag closet red 9,Bag,9,red,2,smooth,casual,cold,3
Carol Bag acc brown 9,Bag,9,brown,3,vertical_stripes,casual,warm,3
Cassie Bag nicebrown 9,Bag,9,brown,2,horizontal_stripes,boho,warm_season,3
Casual Bag leather pink 9,Bag,9,pink,2,smooth,classic,cold_season,3
Cat Bag closet blue dark 9,Bag,9,blue dark,3,smooth,boho,cold,3
Cat Bag closet red 9,Bag,9,red,3,smooth,boho,cold,3
Cathy Bag closet black 9,Bag,9,black,2,smooth,boho,cold_season,3
Cathy Bag closet orange 9,Bag,9,orange,2,smooth,boho,cold_season,3
Cathy Bag closet purple 9,Bag,9,purple,2,smooth,boho,cold_season,3
Celes Bag closet black 9,Bag,9,black,2,smooth,boho,cold,3
Celes Bag closet orange 9,Bag,9,orange,2,smooth,boho,cold,3
Celes Bag closet purple 9,Bag,9,purple,2,smooth,boho,cold,3
Chanel Bag closet black 9,Bag,9,black,2,smooth,boho,cold_season,3
Chanel Bag closet orange 9,Bag,9,orange,2,smooth,boho,cold_season,3
Chanel Bag closet purple 9,Bag,9,purple,2,smooth,boho,cold_season,3
Charis Bag bohck black 9,Bag,9,black,2,animal_print,boho,cold_season,3
Charis Bag closet black 9,Bag,9,black,2,smooth,boho,cold_season,3
Charis Bag closet blue dark 9,Bag,9,blue dark,2,smooth,boho,cold_season,3
Charis Bag closet orange 9,Bag,9,orange,2,smooth,boho,cold_season,3
Charis Bag closet purple 9,Bag,9,purple,2,smooth,boho,cold_season,3
Charis Bag closet red 9,Bag,9,red,2,smooth,boho,cold_season,3
Clarise Bag bohckblack 9,Bag,9,black,3,animal_print,boho,cold,3
Closet Bag leather black 7,Bag,7,black,3,smooth,classic,warm_season,3
Closet Bag leather pink 7,Bag,7,pink,3,smooth,classic,warm_season,3
Closet Bag nice black 7,Bag,7,black,3,smooth,boho,warm_season,3
Closet Bag nice orange 7,Bag,7,orange,3,smooth,boho,warm_season,3
Closet Bag nice pink 7,Bag,7,pink,3,smooth,boho,warm_season,3
Closet Bag nice yellow 7,Bag,7,yellow,3,smooth,boho,warm_season,3
Crossbody Bag suede brown 9,Bag,9,brown,2,smooth,boho,warm,3
Daisy Bag nude black 9,Bag,9,black,2,smooth,classic,warm_season,3
Daisy Bag nude brown 9,Bag,9,brown,2,smooth,classic,warm_season,3
Dana Bag nudeblack 9,Bag,9,black,2,smooth,classic,cold_season,3
Dana Bag nudebrown 9,Bag,9,brown,2,smooth,classic,cold_season,3
Daphne Bag nude black 9,Bag,9,black,2,smooth,street,warm_season,3
Daphne Bag nude brown 9,Bag,9,brown,2,smooth,street,warm_season,3
Darcy Bag nude black 9,Bag,9,black,2,smooth,classic,warm_season,3
